,Austria_HDD_no_pop_weights_1979_2019.dat,Belgium_HDD_no_pop_weights_1979_2019.dat,Bulgaria_HDD_no_pop_weights_1979_2019.dat,Croatia_HDD_no_pop_weights_1979_2019.dat,Czech_Republic_HDD_no_pop_weights_1979_2019.dat,Denmark_HDD_no_pop_weights_1979_2019.dat,Finland_HDD_no_pop_weights_1979_2019.dat,France_HDD_no_pop_weights_1979_2019.dat,Germany_HDD_no_pop_weights_1979_2019.dat,Greece_HDD_no_pop_weights_1979_2019.dat,Hungary_HDD_no_pop_weights_1979_2019.dat,Ireland_HDD_no_pop_weights_1979_2019.dat,Italy_HDD_no_pop_weights_1979_2019.dat,Latvia_HDD_no_pop_weights_1979_2019.dat,Lithuania_HDD_no_pop_weights_1979_2019.dat,Luxembourg_HDD_no_pop_weights_1979_2019.dat,Montenegro_HDD_no_pop_weights_1979_2019.dat,Netherlands_HDD_no_pop_weights_1979_2019.dat,Norway_HDD_no_pop_weights_1979_2019.dat,Poland_HDD_no_pop_weights_1979_2019.dat,Portugal_HDD_no_pop_weights_1979_2019.dat,Romania_HDD_no_pop_weights_1979_2019.dat,Slovakia_HDD_no_pop_weights_1979_2019.dat,Slovenia_HDD_no_pop_weights_1979_2019.dat,Spain_HDD_no_pop_weights_1979_2019.dat,Sweden_HDD_no_pop_weights_1979_2019.dat,Switzerland_HDD_no_pop_weights_1979_2019.dat,United_Kingdom_HDD_no_pop_weights_1979_2019.dat
1979-01-01,22.01258576555619,30.122893514928037,6.8393272199867,9.920309391610608,28.432626505230758,24.202398186198515,34.52563230826975,19.041047428614338,28.687685308605282,3.227174121487817,14.642911316517983,20.122714063654733,8.85723586489977,35.20534090513435,35.1069415979061,30.853276575496636,10.332349288128384,26.108015962384513,35.846584077052356,33.02198900453211,5.383921563512336,10.939612524577278,20.542948976126233,13.475994767687022,7.30358316870103,32.409145007596734,24.2034992304889,20.733198277311953
1979-01-02,30.582799550943513,23.712673057978463,17.366974027369153,22.34238901636906,27.449308403288075,22.21215559703485,35.60175121941364,20.28711499728933,27.264736646916656,6.655256673252726,23.39236633638531,17.25830986040246,18.055215000728737,35.17890566752534,37.23652652504255,24.791728761957103,25.537015324268133,24.738202804200995,33.22939213250003,28.04990941491735,6.503749970522266,24.242802394519995,27.801056552928245,25.459971795902327,9.016069819971726,30.539619032377207,31.658065507813404,17.21846811101988
1979-01-03,30.026449864548738,25.28918076084249,25.075006533359037,23.795833923144933,25.603983662778415,22.341451418963782,35.818895239457866,19.35024377837666,24.84646245788791,16.655790214905704,22.90797157216428,12.139921647038703,21.311996123047216,36.83375994510304,42.55484815840846,26.43679114741596,31.243740901652558,21.327341865793954,34.47963946793036,26.155249533406135,5.161920390428044,26.924147213381453,26.87412168965296,27.28267698102394,9.15860805467141,33.09994162654485,29.39562437190239,16.812701860515517
1979-01-04,30.686974005658165,23.076320050051194,24.18593040610565,20.486506144721737,26.05260938638824,23.815209023755944,36.3818580369684,16.116350763740474,26.28869352008666,17.32062182615267,21.80080035596172,14.056861926394486,18.712193906179927,34.73054863171043,38.454527821995825,24.63623074203582,29.495114045487966,24.00897984953383,34.794351739521005,30.9565384269277,7.710523937052603,26.227408246890533,26.746285539713526,24.863720129184962,9.114631251478583,35.28719177658486,28.634120407529707,16.846126668535984
1979-01-05,32.18341718985231,26.757609978843853,19.322075674730527,20.460232089046073,28.110041182069338,23.30544758246026,35.91761585208294,16.734067375113312,27.965934762682544,9.04462701823191,24.262351761672477,15.981536570539348,15.906733608039348,29.063486341094666,30.915822697815102,27.75460769995361,19.69538795592249,26.05332813417752,32.618377432411094,26.622147891168844,10.413492184696564,25.909114989690586,28.791806159155726,24.594445780289462,11.168968524820553,35.81643142148358,28.092752984247426,18.669922759346257
1979-01-06,30.3235841017379,28.835277966706087,22.88789343708992,22.40465651615089,28.66282953593396,18.544246607205178,35.493248159444164,18.186884053606548,28.166898412130696,9.535554292879986,24.387240614254836,10.01347273608625,14.861523767161135,29.19391605277948,28.180259492679387,27.905814107856713,21.1031068724345,26.877956977791534,29.87016110978371,25.80298266392732,9.059489426279672,25.888472120948258,27.189079901264307,27.078161066767574,10.591106977713936,32.610726194488834,26.242883097474127,14.532757372594434
1979-01-07,28.519363586714825,21.67104280566381,24.417725808381775,23.328776862420114,28.66031872779765,14.34865024400727,25.51149265078236,18.5269723839207,23.82432684811579,12.171889701151073,24.314225227000925,8.216238559537068,15.342976268110087,23.733293710432136,24.319552351581883,25.801299239634716,25.846660504119296,18.787740324758346,27.715765287587885,26.44727632218512,7.2543177462851975,26.65622939540302,28.177591758209033,26.266035605731307,9.562226546920177,22.953675435080207,26.415236094024557,10.226248737239091
1979-01-08,25.449220389598572,16.423067965592438,24.71546275780353,22.06168933870653,22.662359874177547,13.482486168071137,21.986454627545235,15.41039521858287,17.559918645248732,17.029100490153795,23.40092100600675,12.132416092895323,15.630759397494794,15.232266106367627,15.99169901294135,21.807225099325237,24.531089537021906,14.040664160994591,26.352110248980306,17.675161948636838,7.540691432996916,26.210955046219574,25.66982813598201,23.634087638915396,8.555838615781365,20.372084864173072,23.34908661312967,12.16641951438316
1979-01-09,21.569242452662298,15.49536450099325,22.001022014272586,14.978450266873486,19.959562312706986,14.959030657206936,26.350036964477198,13.116824178426164,15.51895723464629,15.27895129255905,19.263554109937154,13.84223189108612,12.835944946290269,15.042505217420292,15.531458374948292,16.459501529432956,20.712989033094544,14.37113536268067,29.753554687648343,17.3007595228772,8.478938152229441,22.33974401478836,23.35503761203215,16.592522983714215,8.952740526890985,23.62522557862448,18.882935833870455,14.40398058561937
1979-01-10,19.54422006178334,15.246926692325234,16.860161550970272,12.929632860143574,18.67753121234406,16.506333738988744,25.623793462730482,13.217603132930773,16.14486965387231,11.050405908669406,16.06351560446754,13.748200602584841,11.417464600007168,16.77108824802848,17.068172700312378,16.025048728329168,13.801963001542232,14.947513269108654,33.683330848265015,16.939606767833883,8.37777144046483,17.249308355005848,18.39508743764929,15.902834235199824,10.633538278198806,27.853182167902553,19.748626996135695,15.100420704837973
