date,use,demand (TWh)
2025-10-25,"NTS Energy Offtaken, Industrial Offtake Total",0.019791407
2025-10-25,"NTS Energy Offtaken, LDZ Offtake Total",1.390866206
2025-10-25,"NTS Energy Offtaken, Powerstations Total",0.176590147
2025-10-24,"NTS Energy Offtaken, Industrial Offtake Total",0.01922264
2025-10-24,"NTS Energy Offtaken, LDZ Offtake Total",1.421779381
2025-10-24,"NTS Energy Offtaken, Powerstations Total",0.164746953
2025-10-23,"NTS Energy Offtaken, Industrial Offtake Total",0.032625264
2025-10-23,"NTS Energy Offtaken, LDZ Offtake Total",1.367229684
2025-10-23,"NTS Energy Offtaken, Powerstations Total",0.152777349
2025-10-22,"NTS Energy Offtaken, Industrial Offtake Total",0.047485052
2025-10-22,"NTS Energy Offtaken, LDZ Offtake Total",1.166887105
2025-10-22,"NTS Energy Offtaken, Powerstations Total",0.597062674
2025-10-21,"NTS Energy Offtaken, Industrial Offtake Total",0.026640698
2025-10-21,"NTS Energy Offtaken, LDZ Offtake Total",1.046916992
2025-10-21,"NTS Energy Offtaken, Powerstations Total",0.254155661
2025-10-20,"NTS Energy Offtaken, Industrial Offtake Total",0.024412723
2025-10-20,"NTS Energy Offtaken, LDZ Offtake Total",1.010660511
2025-10-20,"NTS Energy Offtaken, Powerstations Total",0.449119281
2025-10-19,"NTS Energy Offtaken, Industrial Offtake Total",0.017937361
2025-10-19,"NTS Energy Offtaken, LDZ Offtake Total",1.024976627
2025-10-19,"NTS Energy Offtaken, Powerstations Total",0.168579773
2025-10-18,"NTS Energy Offtaken, Industrial Offtake Total",0.038033809
2025-10-18,"NTS Energy Offtaken, LDZ Offtake Total",1.037292377
2025-10-18,"NTS Energy Offtaken, Powerstations Total",0.321791151
2025-10-17,"NTS Energy Offtaken, Industrial Offtake Total",0.037745127
2025-10-17,"NTS Energy Offtaken, LDZ Offtake Total",1.097059114
2025-10-17,"NTS Energy Offtaken, Powerstations Total",0.768878922
2025-10-16,"NTS Energy Offtaken, Industrial Offtake Total",0.032604001
2025-10-16,"NTS Energy Offtaken, LDZ Offtake Total",1.13248656
2025-10-16,"NTS Energy Offtaken, Powerstations Total",0.787497368
2025-10-15,"NTS Energy Offtaken, Industrial Offtake Total",0.061265803
2025-10-15,"NTS Energy Offtaken, LDZ Offtake Total",1.171754684
2025-10-15,"NTS Energy Offtaken, Powerstations Total",0.833486627
2025-10-14,"NTS Energy Offtaken, Industrial Offtake Total",0.065567649
2025-10-14,"NTS Energy Offtaken, LDZ Offtake Total",1.1142688
2025-10-14,"NTS Energy Offtaken, Powerstations Total",0.920581312
2025-10-13,"NTS Energy Offtaken, Industrial Offtake Total",0.064501165
2025-10-13,"NTS Energy Offtaken, LDZ Offtake Total",1.067329573
2025-10-13,"NTS Energy Offtaken, Powerstations Total",0.906025267
2025-10-12,"NTS Energy Offtaken, Industrial Offtake Total",0.032358889
2025-10-12,"NTS Energy Offtaken, LDZ Offtake Total",1.028829971
2025-10-12,"NTS Energy Offtaken, Powerstations Total",0.726074411
2025-10-11,"NTS Energy Offtaken, Industrial Offtake Total",0.031190924
2025-10-11,"NTS Energy Offtaken, LDZ Offtake Total",0.902674
2025-10-11,"NTS Energy Offtaken, Powerstations Total",0.583666739
2025-10-10,"NTS Energy Offtaken, Industrial Offtake Total",0.031375061
2025-10-10,"NTS Energy Offtaken, LDZ Offtake Total",0.939366893
2025-10-10,"NTS Energy Offtaken, Powerstations Total",0.592536522
2025-10-09,"NTS Energy Offtaken, Industrial Offtake Total",0.031227315
2025-10-09,"NTS Energy Offtaken, LDZ Offtake Total",0.969594843
2025-10-09,"NTS Energy Offtaken, Powerstations Total",0.476986156
2025-10-08,"NTS Energy Offtaken, Industrial Offtake Total",0.035108221
2025-10-08,"NTS Energy Offtaken, LDZ Offtake Total",0.919971933
2025-10-08,"NTS Energy Offtaken, Powerstations Total",0.662171682
2025-10-07,"NTS Energy Offtaken, Industrial Offtake Total",0.027901924
2025-10-07,"NTS Energy Offtaken, LDZ Offtake Total",0.86518696
2025-10-07,"NTS Energy Offtaken, Powerstations Total",0.657443915
2025-10-06,"NTS Energy Offtaken, Industrial Offtake Total",0.026784781
2025-10-06,"NTS Energy Offtaken, LDZ Offtake Total",0.838625358
2025-10-06,"NTS Energy Offtaken, Powerstations Total",0.419225474
2025-10-05,"NTS Energy Offtaken, Industrial Offtake Total",0.018461274
2025-10-05,"NTS Energy Offtaken, LDZ Offtake Total",0.944985291
2025-10-05,"NTS Energy Offtaken, Powerstations Total",0.151036071
2025-10-04,"NTS Energy Offtaken, Industrial Offtake Total",0.017176939
2025-10-04,"NTS Energy Offtaken, LDZ Offtake Total",0.92531744
2025-10-04,"NTS Energy Offtaken, Powerstations Total",0.163385273
2025-10-03,"NTS Energy Offtaken, Industrial Offtake Total",0.023067141
2025-10-03,"NTS Energy Offtaken, LDZ Offtake Total",0.857329435
2025-10-03,"NTS Energy Offtaken, Powerstations Total",0.218654786
2025-10-02,"NTS Energy Offtaken, Industrial Offtake Total",0.025092558
2025-10-02,"NTS Energy Offtaken, LDZ Offtake Total",0.837671606
2025-10-02,"NTS Energy Offtaken, Powerstations Total",0.294767711
2025-10-01,"NTS Energy Offtaken, Industrial Offtake Total",0.023874395
2025-10-01,"NTS Energy Offtaken, LDZ Offtake Total",0.848429844
2025-10-01,"NTS Energy Offtaken, Powerstations Total",0.465497967
2025-09-30,"NTS Energy Offtaken, Industrial Offtake Total",0.022513259
2025-09-30,"NTS Energy Offtaken, LDZ Offtake Total",0.856120912
2025-09-30,"NTS Energy Offtaken, Powerstations Total",0.566206761
2025-09-29,"NTS Energy Offtaken, Industrial Offtake Total",0.035942341
2025-09-29,"NTS Energy Offtaken, LDZ Offtake Total",0.943698655
2025-09-29,"NTS Energy Offtaken, Powerstations Total",0.636002373
2025-09-28,"NTS Energy Offtaken, Industrial Offtake Total",0.031285185
2025-09-28,"NTS Energy Offtaken, LDZ Offtake Total",0.824698841
2025-09-28,"NTS Energy Offtaken, Powerstations Total",0.540800674
2025-09-27,"NTS Energy Offtaken, Industrial Offtake Total",0.023863751
2025-09-27,"NTS Energy Offtaken, LDZ Offtake Total",0.817253113
2025-09-27,"NTS Energy Offtaken, Powerstations Total",0.357492166
2025-09-26,"NTS Energy Offtaken, Industrial Offtake Total",0.024814898
2025-09-26,"NTS Energy Offtaken, LDZ Offtake Total",0.910829114
2025-09-26,"NTS Energy Offtaken, Powerstations Total",0.404621507
2025-09-25,"NTS Energy Offtaken, Industrial Offtake Total",0.024589745
2025-09-25,"NTS Energy Offtaken, LDZ Offtake Total",0.842554249
2025-09-25,"NTS Energy Offtaken, Powerstations Total",0.304290295
2025-09-24,"NTS Energy Offtaken, Industrial Offtake Total",0.022256618
2025-09-24,"NTS Energy Offtaken, LDZ Offtake Total",0.887363665
2025-09-24,"NTS Energy Offtaken, Powerstations Total",0.418512828
2025-09-23,"NTS Energy Offtaken, Industrial Offtake Total",0.022269186
2025-09-23,"NTS Energy Offtaken, LDZ Offtake Total",0.96638565
2025-09-23,"NTS Energy Offtaken, Powerstations Total",0.519855447
2025-09-22,"NTS Energy Offtaken, Industrial Offtake Total",0.025860811
2025-09-22,"NTS Energy Offtaken, LDZ Offtake Total",0.912078193
2025-09-22,"NTS Energy Offtaken, Powerstations Total",0.374073672
2025-09-21,"NTS Energy Offtaken, Industrial Offtake Total",0.026340699
2025-09-21,"NTS Energy Offtaken, LDZ Offtake Total",0.739046883
2025-09-21,"NTS Energy Offtaken, Powerstations Total",0.183469798
2025-09-20,"NTS Energy Offtaken, Industrial Offtake Total",0.027288846
2025-09-20,"NTS Energy Offtaken, LDZ Offtake Total",0.617691277
2025-09-20,"NTS Energy Offtaken, Powerstations Total",0.305212665
2025-09-19,"NTS Energy Offtaken, Industrial Offtake Total",0.02751236
2025-09-19,"NTS Energy Offtaken, LDZ Offtake Total",0.604084094
2025-09-19,"NTS Energy Offtaken, Powerstations Total",0.344323886
2025-09-18,"NTS Energy Offtaken, Industrial Offtake Total",0.026626216
2025-09-18,"NTS Energy Offtaken, LDZ Offtake Total",0.637892182
2025-09-18,"NTS Energy Offtaken, Powerstations Total",0.244761278
2025-09-17,"NTS Energy Offtaken, Industrial Offtake Total",0.027253988
2025-09-17,"NTS Energy Offtaken, LDZ Offtake Total",0.738034559
2025-09-17,"NTS Energy Offtaken, Powerstations Total",0.17268367
2025-09-16,"NTS Energy Offtaken, Industrial Offtake Total",0.028193061
2025-09-16,"NTS Energy Offtaken, LDZ Offtake Total",0.719646158
2025-09-16,"NTS Energy Offtaken, Powerstations Total",0.205352281
2025-09-15,"NTS Energy Offtaken, Industrial Offtake Total",0.027762791
2025-09-15,"NTS Energy Offtaken, LDZ Offtake Total",0.753724583
2025-09-15,"NTS Energy Offtaken, Powerstations Total",0.130530301
2025-09-14,"NTS Energy Offtaken, Industrial Offtake Total",0.028956589
2025-09-14,"NTS Energy Offtaken, LDZ Offtake Total",0.774098584
2025-09-14,"NTS Energy Offtaken, Powerstations Total",0.187830025
2025-09-13,"NTS Energy Offtaken, Industrial Offtake Total",0.028922897
2025-09-13,"NTS Energy Offtaken, LDZ Offtake Total",0.649804235
2025-09-13,"NTS Energy Offtaken, Powerstations Total",0.170173386
2025-09-12,"NTS Energy Offtaken, Industrial Offtake Total",0.027841636
2025-09-12,"NTS Energy Offtaken, LDZ Offtake Total",0.682407856
2025-09-12,"NTS Energy Offtaken, Powerstations Total",0.170658441
2025-09-11,"NTS Energy Offtaken, Industrial Offtake Total",0.027801686
2025-09-11,"NTS Energy Offtaken, LDZ Offtake Total",0.659167574
2025-09-11,"NTS Energy Offtaken, Powerstations Total",0.142800555
2025-09-10,"NTS Energy Offtaken, Industrial Offtake Total",0.028286604
2025-09-10,"NTS Energy Offtaken, LDZ Offtake Total",0.602793945
2025-09-10,"NTS Energy Offtaken, Powerstations Total",0.157524224
2025-09-09,"NTS Energy Offtaken, Industrial Offtake Total",0.029179724
2025-09-09,"NTS Energy Offtaken, LDZ Offtake Total",0.612763307
2025-09-09,"NTS Energy Offtaken, Powerstations Total",0.372148683
2025-09-08,"NTS Energy Offtaken, Industrial Offtake Total",0.02779541
2025-09-08,"NTS Energy Offtaken, LDZ Offtake Total",0.591449241
