datetime,demand (TWh),weather year
2012-01-01,2.11438,2012
2012-01-02,2.17274,2012
2012-01-03,2.38014,2012
2012-01-04,2.45493,2012
2012-01-05,2.41657,2012
2012-01-06,2.36047,2012
2012-01-07,2.29719,2012
2012-01-08,2.1257,2012
2012-01-09,2.32553,2012
2012-01-10,2.33049,2012
2012-01-11,2.32261,2012
2012-01-12,2.43335,2012
2012-01-13,2.3536799999999998,2012
2012-01-14,2.34979,2012
2012-01-15,2.35788,2012
2012-01-16,2.51934,2012
2012-01-17,2.55808,2012
2012-01-18,2.4824100000000002,2012
2012-01-19,2.39799,2012
2012-01-20,2.41402,2012
2012-01-21,2.30351,2012
2012-01-22,2.22584,2012
2012-01-23,2.37906,2012
2012-01-24,2.42978,2012
2012-01-25,2.44843,2012
2012-01-26,2.39373,2012
2012-01-27,2.38422,2012
2012-01-28,2.22975,2012
2012-01-29,2.37601,2012
2012-01-30,2.53297,2012
2012-01-31,2.59888,2012
2012-02-01,2.65742,2012
2012-02-02,2.61063,2012
2012-02-03,2.6134500000000003,2012
2012-02-04,2.62661,2012
2012-02-05,2.47082,2012
2012-02-06,2.49995,2012
2012-02-07,2.545,2012
2012-02-08,2.7189099999999997,2012
2012-02-09,2.64213,2012
2012-02-10,2.62271,2012
2012-02-11,2.55236,2012
2012-02-12,2.45325,2012
2012-02-13,2.5234,2012
2012-02-14,2.45265,2012
2012-02-15,2.44632,2012
2012-02-16,2.3404599999999998,2012
2012-02-17,2.28926,2012
2012-02-18,2.3259600000000002,2012
2012-02-19,2.21994,2012
2012-02-20,2.45666,2012
2012-02-21,2.3841,2012
2012-02-22,2.35731,2012
2012-02-23,2.3145700000000002,2012
2012-02-24,2.18367,2012
2012-02-25,2.19626,2012
2012-02-26,2.09808,2012
2012-02-27,2.34487,2012
2012-02-28,2.25543,2012
2012-02-29,2.18581,2012
2012-03-01,2.18768,2012
2012-03-02,2.19391,2012
2012-03-03,2.27588,2012
2012-03-04,2.10777,2012
2012-03-05,2.30736,2012
2012-03-06,2.36196,2012
2012-03-07,2.4344099999999997,2012
2012-03-08,2.34757,2012
2012-03-09,2.28188,2012
2012-03-10,2.2086,2012
2012-03-11,2.05094,2012
2012-03-12,2.16209,2012
2012-03-13,2.21074,2012
2012-03-14,2.22988,2012
2012-03-15,2.28381,2012
2012-03-16,2.26896,2012
2012-03-17,2.23293,2012
2012-03-18,2.05509,2012
2012-03-19,2.26797,2012
2012-03-20,2.33333,2012
2012-03-21,2.18423,2012
2012-03-22,2.1676900000000003,2012
2012-03-23,2.1116900000000003,2012
2012-03-24,2.10872,2012
2012-03-25,1.93116,2012
2012-03-26,2.08269,2012
2012-03-27,2.09109,2012
2012-03-28,2.10118,2012
2012-03-29,2.1588,2012
2012-03-30,2.03176,2012
2012-03-31,2.02225,2012
2012-04-01,1.95608,2012
2012-04-02,2.12696,2012
2012-04-03,2.18394,2012
2012-04-04,2.30336,2012
2012-04-05,2.21246,2012
2012-04-06,2.09815,2012
2012-04-07,2.07349,2012
2012-04-08,1.93436,2012
2012-04-09,1.99041,2012
2012-04-10,2.17067,2012
2012-04-11,2.12228,2012
2012-04-12,2.13336,2012
2012-04-13,2.12384,2012
2012-04-14,2.05824,2012
2012-04-15,2.05123,2012
2012-04-16,2.19514,2012
2012-04-17,2.3182899999999997,2012
2012-04-18,2.20885,2012
2012-04-19,2.18057,2012
2012-04-20,2.13174,2012
2012-04-21,2.09854,2012
2012-04-22,1.95749,2012
2012-04-23,2.14529,2012
2012-04-24,2.16363,2012
2012-04-25,2.23706,2012
2012-04-26,2.2645299999999997,2012
2012-04-27,2.09749,2012
2012-04-28,2.05897,2012
2012-04-29,2.1169,2012
2012-04-30,2.13336,2012
2012-05-01,2.12181,2012
2012-05-02,2.06311,2012
2012-05-03,2.0916200000000003,2012
2012-05-04,2.0952100000000002,2012
2012-05-05,2.11737,2012
2012-05-06,1.9687000000000001,2012
2012-05-07,2.00022,2012
2012-05-08,2.04784,2012
2012-05-09,2.04533,2012
2012-05-10,2.09404,2012
2012-05-11,2.03317,2012
2012-05-12,2.00508,2012
2012-05-13,1.93364,2012
2012-05-14,2.07395,2012
2012-05-15,2.1040200000000002,2012
2012-05-16,2.08312,2012
2012-05-17,2.07321,2012
2012-05-18,2.03618,2012
2012-05-19,2.01884,2012
2012-05-20,1.85862,2012
2012-05-21,1.9745300000000001,2012
2012-05-22,1.98109,2012
2012-05-23,1.8935,2012
2012-05-24,1.8662400000000001,2012
2012-05-25,1.86382,2012
2012-05-26,1.85397,2012
2012-05-27,1.68603,2012
2012-05-28,1.86075,2012
2012-05-29,1.83294,2012
2012-05-30,1.84097,2012
2012-05-31,1.83509,2012
2012-06-01,1.82619,2012
2012-06-02,1.84504,2012
2012-06-03,1.82239,2012
2012-06-04,1.75854,2012
2012-06-05,1.80818,2012
2012-06-06,1.8962299999999999,2012
2012-06-07,1.9030500000000001,2012
2012-06-08,1.9688599999999998,2012
2012-06-09,1.9493399999999999,2012
2012-06-10,1.76915,2012
2012-06-11,1.90562,2012
2012-06-12,1.9251900000000002,2012
2012-06-13,1.9269100000000001,2012
2012-06-14,1.92527,2012
2012-06-15,1.9895999999999998,2012
2012-06-16,1.9825599999999999,2012
2012-06-17,1.76729,2012
2012-06-18,1.8805800000000001,2012
2012-06-19,1.88202,2012
2012-06-20,1.8719700000000001,2012
2012-06-21,1.89899,2012
2012-06-22,1.93118,2012
2012-06-23,1.9523399999999997,2012
2012-06-24,1.75342,2012
2012-06-25,1.8584200000000002,2012
2012-06-26,1.8719000000000001,2012
2012-06-27,1.83752,2012
2012-06-28,1.87501,2012
2012-06-29,1.8644699999999998,2012
2012-06-30,1.8534199999999998,2012
2012-07-01,1.73136,2012
2012-07-02,1.8748799999999999,2012
2012-07-03,1.8780100000000002,2012
2012-07-04,1.8386,2012
2012-07-05,1.8218400000000001,2012
2012-07-06,1.8547,2012
2012-07-07,1.86841,2012
2012-07-08,1.71125,2012
2012-07-09,1.8452,2012
2012-07-10,1.86602,2012
2012-07-11,1.90196,2012
2012-07-12,1.94278,2012
2012-07-13,1.85964,2012
2012-07-14,1.8465,2012
2012-07-15,1.7523499999999999,2012
2012-07-16,1.87267,2012
2012-07-17,1.8645100000000001,2012
2012-07-18,1.9320599999999999,2012
2012-07-19,1.82057,2012
2012-07-20,1.83074,2012
2012-07-21,1.8251300000000001,2012
2012-07-22,1.77018,2012
2012-07-23,1.85587,2012
2012-07-24,1.83205,2012
2012-07-25,1.81432,2012
2012-07-26,1.81155,2012
2012-07-27,1.78983,2012
2012-07-28,1.80185,2012
2012-07-29,1.66527,2012
2012-07-30,1.8146200000000001,2012
2012-07-31,1.84305,2012
2012-08-01,1.92674,2012
2012-08-02,1.77493,2012
2012-08-03,1.7576500000000002,2012
2012-08-04,1.7721500000000001,2012
2012-08-05,1.6348,2012
2012-08-06,1.79018,2012
2012-08-07,1.84541,2012
2012-08-08,1.81553,2012
2012-08-09,1.7885900000000001,2012
2012-08-10,1.7944,2012
2012-08-11,1.78439,2012
2012-08-12,1.66112,2012
2012-08-13,1.8064,2012
2012-08-14,1.79945,2012
2012-08-15,1.85188,2012
2012-08-16,1.82219,2012
2012-08-17,1.84974,2012
2012-08-18,1.79738,2012
2012-08-19,1.65147,2012
2012-08-20,1.80518,2012
2012-08-21,1.81534,2012
2012-08-22,1.88354,2012
2012-08-23,1.80668,2012
2012-08-24,1.8204900000000002,2012
2012-08-25,1.7659500000000001,2012
2012-08-26,1.67325,2012
2012-08-27,1.80036,2012
2012-08-28,1.836,2012
2012-08-29,1.83612,2012
2012-08-30,1.85227,2012
2012-08-31,1.89305,2012
2012-09-01,1.89002,2012
2012-09-02,1.73272,2012
2012-09-03,1.8468099999999998,2012
2012-09-04,1.88208,2012
2012-09-05,1.8796599999999999,2012
2012-09-06,2.01362,2012
2012-09-07,1.8848799999999999,2012
2012-09-08,1.82552,2012
2012-09-09,1.7004,2012
2012-09-10,1.8542,2012
2012-09-11,1.8934199999999999,2012
2012-09-12,1.93762,2012
2012-09-13,1.98882,2012
2012-09-14,2.00279,2012
2012-09-15,1.89792,2012
2012-09-16,1.80139,2012
2012-09-17,1.9337199999999999,2012
2012-09-18,2.0100599999999997,2012
2012-09-19,1.98371,2012
2012-09-20,1.98938,2012
2012-09-21,1.96351,2012
2012-09-22,1.9507700000000001,2012
2012-09-23,1.85838,2012
2012-09-24,2.08844,2012
2012-09-25,2.0841399999999997,2012
2012-09-26,2.03455,2012
2012-09-27,2.01099,2012
2012-09-28,2.00386,2012
2012-09-29,2.01382,2012
2012-09-30,1.91241,2012
2012-10-01,1.9922,2012
2012-10-02,2.06932,2012
2012-10-03,2.03156,2012
2012-10-04,2.03528,2012
2012-10-05,2.0329,2012
2012-10-06,2.02501,2012
2012-10-07,1.90123,2012
2012-10-08,2.0693099999999998,2012
2012-10-09,2.08512,2012
2012-10-10,2.09211,2012
2012-10-11,2.08599,2012
2012-10-12,2.14675,2012
2012-10-13,2.04677,2012
2012-10-14,1.93994,2012
2012-10-15,2.12647,2012
2012-10-16,2.15194,2012
2012-10-17,2.20544,2012
2012-10-18,2.0699,2012
2012-10-19,2.0453900000000003,2012
2012-10-20,2.03545,2012
2012-10-21,1.9293200000000001,2012
2012-10-22,2.07693,2012
2012-10-23,2.06541,2012
2012-10-24,2.04771,2012
2012-10-25,2.07331,2012
2012-10-26,2.15008,2012
2012-10-27,2.27737,2012
2012-10-28,2.08401,2012
2012-10-29,2.1869,2012
2012-10-30,2.2031,2012
2012-10-31,2.30511,2012
2012-11-01,2.23158,2012
2012-11-02,2.3179,2012
2012-11-03,2.23462,2012
2012-11-04,2.11926,2012
2012-11-05,2.30456,2012
2012-11-06,2.37832,2012
2012-11-07,2.38991,2012
2012-11-08,2.26673,2012
2012-11-09,2.22355,2012
2012-11-10,2.16978,2012
2012-11-11,2.0689,2012
2012-11-12,2.29205,2012
2012-11-13,2.3482,2012
2012-11-14,2.19568,2012
2012-11-15,2.22262,2012
2012-11-16,2.23491,2012
2012-11-17,2.18619,2012
2012-11-18,2.11295,2012
2012-11-19,2.34185,2012
2012-11-20,2.31147,2012
2012-11-21,2.23249,2012
2012-11-22,2.34073,2012
2012-11-23,2.23394,2012
2012-11-24,2.19244,2012
2012-11-25,2.18479,2012
2012-11-26,2.30897,2012
2012-11-27,2.37631,2012
2012-11-28,2.41542,2012
2012-11-29,2.42961,2012
2012-11-30,2.48263,2012
2012-12-01,2.42191,2012
2012-12-02,2.35372,2012
2012-12-03,2.4896599999999998,2012
2012-12-04,2.52528,2012
2012-12-05,2.49656,2012
2012-12-06,2.60101,2012
2012-12-07,2.58439,2012
2012-12-08,2.3616,2012
2012-12-09,2.36374,2012
2012-12-10,2.47225,2012
2012-12-11,2.5494000000000003,2012
2012-12-12,2.61461,2012
2012-12-13,2.62299,2012
2012-12-14,2.62002,2012
2012-12-15,2.45907,2012
2012-12-16,2.19452,2012
2012-12-17,2.36076,2012
2012-12-18,2.38639,2012
2012-12-19,2.45311,2012
2012-12-20,2.48733,2012
2012-12-21,2.31322,2012
2012-12-22,2.27674,2012
2012-12-23,2.16093,2012
2012-12-24,2.13185,2012
2012-12-25,2.04528,2012
2012-12-26,2.05375,2012
2012-12-27,2.23605,2012
2012-12-28,2.2508,2012
2012-12-29,2.16056,2012
2012-12-30,2.07594,2012
1987-01-01,2.21753,1987
1987-01-02,2.30279,1987
1987-01-03,2.3322000000000003,1987
1987-01-04,2.33717,1987
1987-01-05,2.46209,1987
1987-01-06,2.50638,1987
1987-01-07,2.62337,1987
1987-01-08,2.5973800000000002,1987
1987-01-09,2.57479,1987
1987-01-10,2.44064,1987
1987-01-11,2.4857,1987
1987-01-12,2.73909,1987
1987-01-13,2.7725,1987
1987-01-14,2.86691,1987
1987-01-15,2.75482,1987
1987-01-16,2.66332,1987
1987-01-17,2.45124,1987
1987-01-18,2.49858,1987
1987-01-19,2.65278,1987
1987-01-20,2.6276800000000002,1987
1987-01-21,2.51105,1987
1987-01-22,2.47785,1987
1987-01-23,2.54968,1987
1987-01-24,2.2958,1987
1987-01-25,2.32769,1987
1987-01-26,2.52656,1987
1987-01-27,2.53277,1987
1987-01-28,2.68746,1987
1987-01-29,2.59367,1987
1987-01-30,2.66984,1987
1987-01-31,2.4496,1987
1987-02-01,2.44256,1987
1987-02-02,2.61422,1987
1987-02-03,2.4511,1987
1987-02-04,2.43295,1987
1987-02-05,2.44602,1987
1987-02-06,2.45235,1987
1987-02-07,2.1654,1987
1987-02-08,2.1416399999999998,1987
1987-02-09,2.29559,1987
1987-02-10,2.3998999999999997,1987
1987-02-11,2.52008,1987
1987-02-12,2.4295400000000003,1987
1987-02-13,2.4858100000000003,1987
1987-02-14,2.3352500000000003,1987
1987-02-15,2.30777,1987
1987-02-16,2.60346,1987
1987-02-17,2.58234,1987
1987-02-18,2.5805,1987
1987-02-19,2.54115,1987
